PING 10.2.0.11 (10.2.0.11) 56(84) bytes of data.
64 bytes from 10.2.0.11: icmp_seq=240 ttl=64 time=0.504 ms
64 bytes from 10.2.0.11: icmp_seq=241 ttl=64 time=0.746 ms
64 bytes from 10.2.0.11: icmp_seq=242 ttl=64 time=0.607 ms
64 bytes from 10.2.0.11: icmp_seq=243 ttl=64 time=0.565 ms
64 bytes from 10.2.0.11: icmp_seq=244 ttl=64 time=0.600 ms
64 bytes from 10.2.0.11: icmp_seq=245 ttl=64 time=0.533 ms
64 bytes from 10.2.0.11: icmp_seq=246 ttl=64 time=0.529 ms
64 bytes from 10.2.0.11: icmp_seq=247 ttl=64 time=0.554 ms
64 bytes from 10.2.0.11: icmp_seq=248 ttl=64 time=0.574 ms
64 bytes from 10.2.0.11: icmp_seq=249 ttl=64 time=0.505 ms
64 bytes from 10.2.0.11: icmp_seq=250 ttl=64 time=0.535 ms
64 bytes from 10.2.0.11: icmp_seq=251 ttl=64 time=0.522 ms
64 bytes from 10.2.0.11: icmp_seq=252 ttl=64 time=0.543 ms
64 bytes from 10.2.0.11: icmp_seq=253 ttl=64 time=0.541 ms
64 bytes from 10.2.0.11: icmp_seq=254 ttl=64 time=0.679 ms
64 bytes from 10.2.0.11: icmp_seq=255 ttl=64 time=0.552 ms
64 bytes from 10.2.0.11: icmp_seq=256 ttl=64 time=0.536 ms
64 bytes from 10.2.0.11: icmp_seq=257 ttl=64 time=0.632 ms
64 bytes from 10.2.0.11: icmp_seq=258 ttl=64 time=0.608 ms
64 bytes from 10.2.0.11: icmp_seq=259 ttl=64 time=0.607 ms
64 bytes from 10.2.0.11: icmp_seq=260 ttl=64 time=0.549 ms
64 bytes from 10.2.0.11: icmp_seq=261 ttl=64 time=0.556 ms
64 bytes from 10.2.0.11: icmp_seq=262 ttl=64 time=0.599 ms
64 bytes from 10.2.0.11: icmp_seq=263 ttl=64 time=0.563 ms
64 bytes from 10.2.0.11: icmp_seq=264 ttl=64 time=0.581 ms
64 bytes from 10.2.0.11: icmp_seq=265 ttl=64 time=0.526 ms
64 bytes from 10.2.0.11: icmp_seq=266 ttl=64 time=0.540 ms
64 bytes from 10.2.0.11: icmp_seq=267 ttl=64 time=1.05 ms
64 bytes from 10.2.0.11: icmp_seq=268 ttl=64 time=0.476 ms
64 bytes from 10.2.0.11: icmp_seq=269 ttl=64 time=0.466 ms
64 bytes from 10.2.0.11: icmp_seq=270 ttl=64 time=0.471 ms
64 bytes from 10.2.0.11: icmp_seq=271 ttl=64 time=0.505 ms
64 bytes from 10.2.0.11: icmp_seq=272 ttl=64 time=0.504 ms
64 bytes from 10.2.0.11: icmp_seq=273 ttl=64 time=0.486 ms
64 bytes from 10.2.0.11: icmp_seq=274 ttl=64 time=0.575 ms
64 bytes from 10.2.0.11: icmp_seq=275 ttl=64 time=0.633 ms
64 bytes from 10.2.0.11: icmp_seq=276 ttl=64 time=0.536 ms
64 bytes from 10.2.0.11: icmp_seq=277 ttl=64 time=0.569 ms
64 bytes from 10.2.0.11: icmp_seq=278 ttl=64 time=0.512 ms
